CODIGO_REGION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
00000000|000100000000000|13|150338|20898086|0.71
00000000|000100000000000|131|557925|20898086|2.66
00000000|000100000000000|132|50619|20898086|0.24
00000000|000100000000000|133|605072|20898086|2.89
00000000|000100000000000|135|6815287|20898086|32.61
00000000|000100000000000|136|9902256|20898086|47.38
00000000|000100000000000|137|1766950|20898086|8.45
00000000|000100000000000|36|25228|20898086|0.12
00000000|000100000000000|57|32513|20898086|0.15
00000000|000100000000000|87|471459|20898086|2.25
00000000|000201000000000|01-187|23231|1806698|1.28
00000000|000201000000000|01-262|4972|1806698|0.27
00000000|000201000000000|01-343|3708|1806698|0.20
00000000|000201000000000|01-501|76563|1806698|4.23
00000000|000201000000000|01-502|579737|1806698|32.08
00000000|000201000000000|01-503|817578|1806698|45.25
00000000|000201000000000|01-504|136569|1806698|7.55
00000000|000201000000000|13|17459|1806698|0.96
00000000|000201000000000|5|16367|1806698|0.90
00000000|000201000000000|86|1856|1806698|0.10
00000000|000201000000000|87|56857|1806698|3.14
00000000|000201000000000|88|1904|1806698|0.10
00000000|000206000000000|06-156|14026|389653|3.59
00000000|000206000000000|06-179|2003|389653|0.51
00000000|000206000000000|06-180|1360|389653|0.34
00000000|000206000000000|06-501|229937|389653|59.01
00000000|000206000000000|06-502|2156|389653|0.55
00000000|000206000000000|06-503|100364|389653|25.75
00000000|000206000000000|06-504|9817|389653|2.51
00000000|000206000000000|33|3619|389653|0.92
00000000|000206000000000|71|5633|389653|1.44
00000000|000208000000000|08-501|345125|776687|44.43
00000000|000208000000000|08-502|283259|776687|36.47
00000000|000208000000000|13|7105|776687|0.91
00000000|000208000000000|50|67045|776687|8.63
00000000|000208000000000|68|16966|776687|2.18
00000000|000215000000000|13|3727|334526|1.11
00000000|000215000000000|15-151|66105|334526|19.76
00000000|000215000000000|15-501|81485|334526|24.35
00000000|000215000000000|15-502|16619|334526|4.96
00000000|000215000000000|15-503|117064|334526|34.99
00000000|000215000000000|15-504|17119|334526|5.11
00000000|000216000000000|13|3661|362234|1.01
00000000|000216000000000|16-169|106524|362234|29.40
00000000|000216000000000|16-502|159576|362234|44.05
00000000|000216000000000|16-503|11999|362234|3.31
00000000|000217000000000|17-501|296697|612430|48.44
00000000|000217000000000|17-502|110551|612430|18.05
00000000|000217000000000|17-503|139385|612430|22.75
00000000|000217000000000|17-504|20885|612430|3.41
00000000|000217000000000|19|28327|612430|4.62
00000000|000222000000000|22-178|3702|526718|0.70
00000000|000222000000000|22-179|2805|526718|0.53
00000000|000222000000000|22-501|298002|526718|56.57
00000000|000222000000000|22-502|105657|526718|20.05
00000000|000222000000000|22-503|71168|526718|13.51
00000000|000222000000000|38|5363|526718|1.01
00000000|000222000000000|40|14324|526718|2.71
00000000|000222000000000|87|3771|526718|0.71
00000000|000224000000000|24-187|4506|86642|5.20
00000000|000224000000000|24-203|2510|86642|2.89
00000000|000224000000000|24-501|35966|86642|41.51
00000000|000224000000000|24-502|15132|86642|17.46
00000000|000224000000000|24-503|10951|86642|12.63
