CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|CODIGO_LISTA|VOTOS_LISTA
01|01001|000100000000000|13|000100000000000.13.A.000100000000000.13|1154
01|01001|000100000000000|131|000100000000000.131.A.000100000000000.131|1720
01|01001|000100000000000|132|000100000000000.132.A.000100000000000.132|373
01|01001|000100000000000|133|000100000000000.133.A.000100000000000.133|4282
01|01001|000100000000000|135|000100000000000.135.A.000100000000000.135|53185
01|01001|000100000000000|136|000100000000000.136.A.000100000000000.136|41432
01|01001|000100000000000|137|000100000000000.137.A.000100000000000.137|8106
01|01001|000100000000000|36|000100000000000.36.A.000100000000000.36|139
01|01001|000100000000000|57|000100000000000.57.A.000100000000000.57|153
01|01001|000100000000000|87|000100000000000.87.A.000100000000000.87|4014
01|01001|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|1282
01|01001|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|388
01|01001|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|277
01|01001|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|4513
01|01001|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|39650
01|01001|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|53161
01|01001|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|7056
01|01001|000201000000000|13|000201000000000.13.A.000201000000000.13|1007
01|01001|000201000000000|5|000201000000000.5.A.000201000000000.5|1689
01|01001|000201000000000|86|000201000000000.86.A.000201000000000.86|132
01|01001|000201000000000|87|000201000000000.87.A.000201000000000.87|3599
01|01001|000201000000000|88|000201000000000.88.1A.000201000000000.88|155
01|01001|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|1629
01|01001|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|386
01|01001|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|262
01|01001|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|5044
01|01001|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|38885
01|01001|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|52858
01|01001|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|7062
01|01001|000301000000000|13|000301000000000.13.A.000301000000000.13|977
01|01001|000301000000000|5|000301000000000.5.A.000301000000000.5|1666
01|01001|000301000000000|86|000301000000000.86.A.000301000000000.86|132
01|01001|000301000000000|87|000301000000000.87.A.000301000000000.87|3517
01|01001|000301000000000|88|000301000000000.88.1A.000301000000000.88|171
01|01001|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|1236
01|01001|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|4429
01|01001|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|40062
01|01001|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|54962
01|01001|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|6909
01|01001|000501000000000|13|000501000000000.13.A.000501000000000.13|976
01|01001|000501000000000|87|000501000000000.87.B.000501000000000.87|25
01|01001|000501000000000|88|000501000000000.88.1A.000501000000000.88|177
01|01001|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|1293
01|01001|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|4746
01|01001|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|39529
01|01001|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|53514
01|01001|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|6705
01|01001|000801000000000|13|000801000000000.13.A.000801000000000.13|1002
01|01001|000801000000000|5|000801000000000.5.A.000801000000000.5|1608
01|01001|000801000000000|87|000801000000000.87.A.000801000000000.87|3352
01|01001|000801000000000|87|000801000000000.87.B.000801000000000.87|8
01|01001|000801000000000|88|000801000000000.88.1A.000801000000000.88|192
01|01001|000901001000000|01-501|000901001000000.01-501.A.000901001000000.01-501|4833
01|01001|000901001000000|01-502|000901001000000.01-502.A.000901001000000.01-502|39508
01|01001|000901001000000|01-503|000901001000000.01-503.A.000901001000000.01-503|53564
01|01001|000901001000000|01-504|000901001000000.01-504.A.000901001000000.01-504|6722
01|01001|000901001000000|13|000901001000000.13.A.000901001000000.13|1034
01|01001|000901001000000|5|000901001000000.5.A.000901001000000.5|1600
01|01002|000100000000000|13|000100000000000.13.A.000100000000000.13|684
01|01002|000100000000000|131|000100000000000.131.A.000100000000000.131|1347
01|01002|000100000000000|132|000100000000000.132.A.000100000000000.132|120
01|01002|000100000000000|133|000100000000000.133.A.000100000000000.133|2116
01|01002|000100000000000|135|000100000000000.135.A.000100000000000.135|49097
01|01002|000100000000000|136|000100000000000.136.A.000100000000000.136|15495
01|01002|000100000000000|137|000100000000000.137.A.000100000000000.137|5259
01|01002|000100000000000|36|000100000000000.36.A.000100000000000.36|63
01|01002|000100000000000|57|000100000000000.57.A.000100000000000.57|52
01|01002|000100000000000|87|000100000000000.87.A.000100000000000.87|2815
01|01002|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|631
01|01002|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|141
01|01002|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|90
01|01002|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|2267
01|01002|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|14933
01|01002|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|48460
01|01002|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|4411
01|01002|000201000000000|13|000201000000000.13.A.000201000000000.13|586
01|01002|000201000000000|5|000201000000000.5.A.000201000000000.5|2225
01|01002|000201000000000|86|000201000000000.86.A.000201000000000.86|55
01|01002|000201000000000|87|000201000000000.87.A.000201000000000.87|2471
01|01002|000201000000000|88|000201000000000.88.1A.000201000000000.88|52
01|01002|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|886
01|01002|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|142
01|01002|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|87
01|01002|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|2608
01|01002|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|14637
01|01002|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|48364
01|01002|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|4451
01|01002|000301000000000|13|000301000000000.13.A.000301000000000.13|567
01|01002|000301000000000|5|000301000000000.5.A.000301000000000.5|2176
01|01002|000301000000000|86|000301000000000.86.A.000301000000000.86|54
01|01002|000301000000000|87|000301000000000.87.A.000301000000000.87|2415
01|01002|000301000000000|88|000301000000000.88.1A.000301000000000.88|60
01|01002|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|607
01|01002|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|2180
01|01002|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|15094
01|01002|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|50302
01|01002|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|4279
01|01002|000501000000000|13|000501000000000.13.A.000501000000000.13|548
01|01002|000501000000000|87|000501000000000.87.B.000501000000000.87|4
01|01002|000501000000000|88|000501000000000.88.1A.000501000000000.88|67
01|01002|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|630
01|01002|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|2307
01|01002|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|14862
01|01002|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|48822
01|01002|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|4117
01|01002|000801000000000|13|000801000000000.13.A.000801000000000.13|564
01|01002|000801000000000|5|000801000000000.5.A.000801000000000.5|2075
01|01002|000801000000000|87|000801000000000.87.A.000801000000000.87|2278
01|01002|000801000000000|87|000801000000000.87.B.000801000000000.87|24
01|01002|000801000000000|88|000801000000000.88.1A.000801000000000.88|82
01|01002|000901002000000|01-501|000901002000000.01-501.A.000901002000000.01-501|2334
01|01002|000901002000000|01-502|000901002000000.01-502.A.000901002000000.01-502|14873
01|01002|000901002000000|01-503|000901002000000.01-503.A.000901002000000.01-503|48884
01|01002|000901002000000|01-504|000901002000000.01-504.A.000901002000000.01-504|4118
01|01002|000901002000000|13|000901002000000.13.A.000901002000000.13|573
01|01002|000901002000000|5|000901002000000.5.A.000901002000000.5|2059
01|01003|000100000000000|13|000100000000000.13.A.000100000000000.13|1344
01|01003|000100000000000|131|000100000000000.131.A.000100000000000.131|1387
01|01003|000100000000000|132|000100000000000.132.A.000100000000000.132|396
01|01003|000100000000000|133|000100000000000.133.A.000100000000000.133|4976
01|01003|000100000000000|135|000100000000000.135.A.000100000000000.135|45223
01|01003|000100000000000|136|000100000000000.136.A.000100000000000.136|41857
01|01003|000100000000000|137|000100000000000.137.A.000100000000000.137|9408
01|01003|000100000000000|36|000100000000000.36.A.000100000000000.36|184
01|01003|000100000000000|57|000100000000000.57.A.000100000000000.57|144
01|01003|000100000000000|87|000100000000000.87.A.000100000000000.87|3964
01|01003|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|1464
01|01003|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|387
01|01003|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|264
01|01003|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|5281
01|01003|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|40110
