CODIGO_DISTRITO|CODIGO_SECCION|MESAS_HABILITADAS|MESAS_COMPUTADAS|CODIGO_CATEGORIA|CONTADOR|VALOR
01|01001|522|508|000100000000000|VB|3609
01|01001|522|508|000100000000000|VII|14
01|01001|522|508|000100000000000|VN|999
01|01001|522|508|000100000000000|VR|62
01|01001|522|508|000201000000000|VB|5132
01|01001|522|508|000201000000000|VII|7
01|01001|522|508|000201000000000|VN|934
01|01001|522|508|000201000000000|VR|60
01|01001|522|508|000301000000000|VB|5382
01|01001|522|508|000301000000000|VII|9
01|01001|522|508|000301000000000|VN|961
01|01001|522|508|000301000000000|VR|64
01|01001|522|508|000501000000000|VB|9978
01|01001|522|508|000501000000000|VII|9
01|01001|522|508|000501000000000|VN|907
01|01001|522|508|000501000000000|VR|61
01|01001|522|508|000801000000000|VB|6915
01|01001|522|508|000801000000000|VII|10
01|01001|522|508|000801000000000|VN|918
01|01001|522|508|000801000000000|VR|60
01|01001|522|508|000901001000000|VB|11326
01|01001|522|508|000901001000000|VII|10
01|01001|522|508|000901001000000|VN|873
01|01001|522|508|000901001000000|VR|66
01|01002|417|380|000100000000000|VB|2284
01|01002|417|380|000100000000000|VII|19
01|01002|417|380|000100000000000|VN|695
01|01002|417|380|000100000000000|VR|39
01|01002|417|380|000201000000000|VB|3087
01|01002|417|380|000201000000000|VII|19
01|01002|417|380|000201000000000|VN|700
01|01002|417|380|000201000000000|VR|43
01|01002|417|380|000301000000000|VB|2919
01|01002|417|380|000301000000000|VII|19
01|01002|417|380|000301000000000|VN|699
01|01002|417|380|000301000000000|VR|43
01|01002|417|380|000501000000000|VB|6817
01|01002|417|380|000501000000000|VII|23
01|01002|417|380|000501000000000|VN|611
01|01002|417|380|000501000000000|VR|47
01|01002|417|380|000801000000000|VB|4004
01|01002|417|380|000801000000000|VII|19
01|01002|417|380|000801000000000|VN|655
01|01002|417|380|000801000000000|VR|44
01|01002|417|380|000901002000000|VB|7214
01|01002|417|380|000901002000000|VII|23
01|01002|417|380|000901002000000|VN|600
01|01002|417|380|000901002000000|VR|65
01|01003|472|458|000100000000000|VB|3706
01|01003|472|458|000100000000000|VII|6
01|01003|472|458|000100000000000|VN|1260
01|01003|472|458|000100000000000|VR|25
01|01003|472|458|000201000000000|VB|4957
01|01003|472|458|000201000000000|VII|5
01|01003|472|458|000201000000000|VN|1230
01|01003|472|458|000201000000000|VR|24
01|01003|472|458|000301000000000|VB|5296
01|01003|472|458|000301000000000|VII|5
01|01003|472|458|000301000000000|VN|1212
01|01003|472|458|000301000000000|VR|24
01|01003|472|458|000501000000000|VB|9839
