CODIGO_CATEGORIA|NOMBRE_CATEGORIA|CODIGO_PARTIDO|NOMBRE_PARTIDO|CODIGO_LISTA|NOMBRE_LISTA
00070200004|DIPUTADOS PROVINCIALES PBA - SECCION 4|02-503|FRENTE DE TODOS|00070200004.02-503.A.00070200004.02-503|CELESTE Y BLANCA
00070200004|DIPUTADOS PROVINCIALES PBA - SECCION 4|02-502|JUNTOS POR EL CAMBIO|00070200004.02-502.A.00070200004.02-502|JUNTOS SOMOS EL CAMBIO
00070200004|DIPUTADOS PROVINCIALES PBA - SECCION 4|131|FRENTE NOS|00070200004.131.A.00070200004.131|CELESTE 2019
00070200004|DIPUTADOS PROVINCIALES PBA - SECCION 4|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|00070200004.02-309.B.00070200004.02-309|AZUL Y BLANCO
00070200004|DIPUTADOS PROVINCIALES PBA - SECCION 4|02-504|CONSENSO FEDERAL|00070200004.02-504.B.00070200004.02-504|HAY CONSENSO
00070200005|DIPUTADOS PROVINCIALES PBA - SECCION 5|88|DIGNIDAD POPULAR|00070200005.88.A.00070200005.88|POR LA VIDA
00070200005|DIPUTADOS PROVINCIALES PBA - SECCION 5|02-505|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|00070200005.02-505.A.00070200005.02-505|UNIDAD
00070200005|DIPUTADOS PROVINCIALES PBA - SECCION 5|02-312|FRENTE PATRIOTA|00070200005.02-312.B.00070200005.02-312|LEALTAD
00070200005|DIPUTADOS PROVINCIALES PBA - SECCION 5|02-276|MOVIMIENTO AVANZADA SOCIALISTA|00070200005.02-276.A.00070200005.02-276|UNIDAD DE LA IZQUIERDA
00070200005|DIPUTADOS PROVINCIALES PBA - SECCION 5|02-503|FRENTE DE TODOS|00070200005.02-503.A.00070200005.02-503|CELESTE Y BLANCA
00070200005|DIPUTADOS PROVINCIALES PBA - SECCION 5|02-502|JUNTOS POR EL CAMBIO|00070200005.02-502.A.00070200005.02-502|JUNTOS SOMOS EL CAMBIO
00070200005|DIPUTADOS PROVINCIALES PBA - SECCION 5|131|FRENTE NOS|00070200005.131.A.00070200005.131|CELESTE 2019
00070200005|DIPUTADOS PROVINCIALES PBA - SECCION 5|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|00070200005.02-309.B.00070200005.02-309|AZUL Y BLANCO
00070200005|DIPUTADOS PROVINCIALES PBA - SECCION 5|02-504|CONSENSO FEDERAL|00070200005.02-504.B.00070200005.02-504|HAY CONSENSO
00070200007|DIPUTADOS PROVINCIALES PBA - SECCION 7|88|DIGNIDAD POPULAR|00070200007.88.A.00070200007.88|POR LA VIDA
00070200007|DIPUTADOS PROVINCIALES PBA - SECCION 7|02-505|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|00070200007.02-505.A.00070200007.02-505|UNIDAD
00070200007|DIPUTADOS PROVINCIALES PBA - SECCION 7|02-312|FRENTE PATRIOTA|00070200007.02-312.B.00070200007.02-312|LEALTAD
00070200007|DIPUTADOS PROVINCIALES PBA - SECCION 7|02-276|MOVIMIENTO AVANZADA SOCIALISTA|00070200007.02-276.A.00070200007.02-276|UNIDAD DE LA IZQUIERDA
