CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
01|01001|00010000000|13|7947|92616|8.58
01|01001|00010000000|131|8175|92616|8.82
01|01001|00010000000|132|8815|92616|9.51
01|01001|00010000000|133|8373|92616|9.04
01|01001|00010000000|135|8762|92616|9.46
01|01001|00010000000|136|8483|92616|9.15
01|01001|00010000000|137|8624|92616|9.31
01|01001|00010000000|36|8828|92616|9.53
01|01001|00010000000|57|8287|92616|8.94
01|01001|00010000000|87|9386|92616|10.13
01|01001|00020100000|01-187|5757|92616|6.21
01|01001|00020100000|01-262|5963|92616|6.43
01|01001|00020100000|01-343|6185|92616|6.67
01|01001|00020100000|01-501|6198|92616|6.69
01|01001|00020100000|01-502|6145|92616|6.63
01|01001|00020100000|01-503|6099|92616|6.58
01|01001|00020100000|01-504|12594|92616|13.59
01|01001|00020100000|13|6424|92616|6.93
01|01001|00020100000|36|5567|92616|6.01
01|01001|00020100000|5|5991|92616|6.46
01|01001|00020100000|86|6129|92616|6.61
01|01001|00020100000|87|6445|92616|6.95
01|01001|00020100000|88|6183|92616|6.67
01|01001|00030100000|01-187|6217|92616|6.71
01|01001|00030100000|01-262|5966|92616|6.44
01|01001|00030100000|01-343|6052|92616|6.53
01|01001|00030100000|01-501|6193|92616|6.68
01|01001|00030100000|01-502|6184|92616|6.67
01|01001|00030100000|01-503|6018|92616|6.49
01|01001|00030100000|01-504|12088|92616|13.05
01|01001|00030100000|13|6264|92616|6.76
01|01001|00030100000|36|6061|92616|6.54
01|01001|00030100000|5|6329|92616|6.83
01|01001|00030100000|86|5944|92616|6.41
01|01001|00030100000|87|5751|92616|6.20
01|01001|00030100000|88|6613|92616|7.14
01|01001|00050100000|01-187|11956|92616|12.90
01|01001|00050100000|01-501|12873|92616|13.89
01|01001|00050100000|01-502|12783|92616|13.80
01|01001|00050100000|01-503|11712|92616|12.64
01|01001|00050100000|13|11944|92616|12.89
01|01001|00050100000|5|11735|92616|12.67
01|01001|00050100000|87|12677|92616|13.68
01|01001|00080100000|01-187|9584|92616|10.34
01|01001|00080100000|01-501|9258|92616|9.99
01|01001|00080100000|01-502|9624|92616|10.39
01|01001|00080100000|01-503|9838|92616|10.62
01|01001|00080100000|13|9729|92616|10.50
01|01001|00080100000|5|9147|92616|9.87
01|01001|00080100000|87|18825|92616|20.32
01|01001|00080100000|88|9675|92616|10.44
01|01001|00090100100|01-501|13745|92616|14.84
01|01001|00090100100|01-502|13947|92616|15.05
01|01001|00090100100|01-503|13749|92616|14.84
01|01001|00090100100|01-504|14011|92616|15.12
01|01001|00090100100|13|14857|92616|16.04
01|01001|00090100100|5|15371|92616|16.59
01|01002|00010000000|13|6681|69916|9.55
01|01002|00010000000|131|6779|69916|9.69
01|01002|00010000000|132|6278|69916|8.97
01|01002|00010000000|133|6503|69916|9.30
01|01002|00010000000|135|6697|69916|9.57
01|01002|00010000000|136|6189|69916|8.85
01|01002|00010000000|137|6372|69916|9.11
01|01002|00010000000|36|6244|69916|8.93
01|01002|00010000000|57|6684|69916|9.56
01|01002|00010000000|87|6253|69916|8.94
01|01002|00020100000|01-187|4362|69916|6.23
01|01002|00020100000|01-262|4737|69916|6.77
01|01002|00020100000|01-343|4836|69916|6.91
01|01002|00020100000|01-501|4669|69916|6.67
01|01002|00020100000|01-502|4656|69916|6.65
01|01002|00020100000|01-503|4481|69916|6.40
01|01002|00020100000|01-504|8737|69916|12.49
01|01002|00020100000|13|4786|69916|6.84
01|01002|00020100000|36|4844|69916|6.92
01|01002|00020100000|5|4419|69916|6.32
01|01002|00020100000|86|4594|69916|6.57
01|01002|00020100000|87|4427|69916|6.33
01|01002|00020100000|88|5132|69916|7.34
01|01002|00030100000|01-187|4568|69916|6.53
01|01002|00030100000|01-262|4997|69916|7.14
01|01002|00030100000|01-343|4699|69916|6.72
01|01002|00030100000|01-501|4390|69916|6.27
01|01002|00030100000|01-502|4609|69916|6.59
01|01002|00030100000|01-503|4570|69916|6.53
01|01002|00030100000|01-504|9435|69916|13.49
01|01002|00030100000|13|4579|69916|6.54
01|01002|00030100000|36|4760|69916|6.80
01|01002|00030100000|5|4492|69916|6.42
01|01002|00030100000|86|4450|69916|6.36
01|01002|00030100000|87|4619|69916|6.60
01|01002|00030100000|88|4512|69916|6.45
01|01002|00050100000|01-187|9478|69916|13.55
01|01002|00050100000|01-501|9547|69916|13.65
01|01002|00050100000|01-502|9619|69916|13.75
01|01002|00050100000|01-503|9030|69916|12.91
01|01002|00050100000|13|9575|69916|13.69
01|01002|00050100000|5|8595|69916|12.29
01|01002|00050100000|87|8836|69916|12.63
01|01002|00080100000|01-187|6767|69916|9.67
01|01002|00080100000|01-501|6616|69916|9.46
01|01002|00080100000|01-502|6956|69916|9.94
01|01002|00080100000|01-503|6724|69916|9.61
01|01002|00080100000|13|7693|69916|11.00
01|01002|00080100000|5|7598|69916|10.86
01|01002|00080100000|87|14439|69916|20.65
01|01002|00080100000|88|7887|69916|11.28
01|01002|00090100200|01-501|9035|69916|12.92
01|01002|00090100200|01-502|9911|69916|14.17
01|01002|00090100200|01-503|8770|69916|12.54
01|01002|00090100200|01-504|17592|69916|25.16
01|01002|00090100200|13|9875|69916|14.12
01|01002|00090100200|5|9497|69916|13.58
01|01003|00010000000|13|6900|79904|8.63
01|01003|00010000000|131|7747|79904|9.69
01|01003|00010000000|132|7680|79904|9.61
01|01003|00010000000|133|7480|79904|9.36
01|01003|00010000000|135|7075|79904|8.85
01|01003|00010000000|136|7613|79904|9.52
01|01003|00010000000|137|7234|79904|9.05
01|01003|00010000000|36|7412|79904|9.27
01|01003|00010000000|57|7778|79904|9.73
01|01003|00010000000|87|7001|79904|8.76
01|01003|00020100000|01-187|5159|79904|6.45
01|01003|00020100000|01-262|5093|79904|6.37
01|01003|00020100000|01-343|5349|79904|6.69
01|01003|00020100000|01-501|5100|79904|6.38
01|01003|00020100000|01-502|5686|79904|7.11
01|01003|00020100000|01-503|5012|79904|6.27
01|01003|00020100000|01-504|10458|79904|13.08
01|01003|00020100000|13|5050|79904|6.32
01|01003|00020100000|36|4934|79904|6.17
01|01003|00020100000|5|5191|79904|6.49
01|01003|00020100000|86|5476|79904|6.85
01|01003|00020100000|87|5814|79904|7.27
01|01003|00020100000|88|5598|79904|7.00
01|01003|00030100000|01-187|5278|79904|6.60
01|01003|00030100000|01-262|5677|79904|7.10
01|01003|00030100000|01-343|5064|79904|6.33
01|01003|00030100000|01-501|5111|79904|6.39
01|01003|00030100000|01-502|5395|79904|6.75
01|01003|00030100000|01-503|5021|79904|6.28
01|01003|00030100000|01-504|11095|79904|13.88
01|01003|00030100000|13|4759|79904|5.95
01|01003|00030100000|36|5248|79904|6.56
01|01003|00030100000|5|5322|79904|6.66
01|01003|00030100000|86|5026|79904|6.29
01|01003|00030100000|87|5734|79904|7.17
01|01003|00030100000|88|5190|79904|6.49
01|01003|00050100000|01-187|10687|79904|13.37
01|01003|00050100000|01-501|10538|79904|13.18
01|01003|00050100000|01-502|10187|79904|12.74
01|01003|00050100000|01-503|10576|79904|13.23
01|01003|00050100000|13|10176|79904|12.73
01|01003|00050100000|5|10735|79904|13.43
01|01003|00050100000|87|11021|79904|13.79
01|01003|00080100000|01-187|7896|79904|9.88
01|01003|00080100000|01-501|8319|79904|10.41
01|01003|00080100000|01-502|9034|79904|11.30
01|01003|00080100000|01-503|8199|79904|10.26
01|01003|00080100000|13|7512|79904|9.40
01|01003|00080100000|5|8144|79904|10.19
01|01003|00080100000|87|16874|79904|21.11
01|01003|00080100000|88|7942|79904|9.93
01|01003|00090100300|01-501|10203|79904|12.76
01|01003|00090100300|01-502|10786|79904|13.49
01|01003|00090100300|01-503|11091|79904|13.88
01|01003|00090100300|01-504|19573|79904|24.49
01|01003|00090100300|13|10502|79904|13.14
01|01003|00090100300|5|11765|79904|14.72
01|01004|00010000000|13|9661|102377|9.43
01|01004|00010000000|131|9712|102377|9.48
01|01004|00010000000|132|9691|102377|9.46
01|01004|00010000000|133|9692|102377|9.46
01|01004|00010000000|135|9141|102377|8.92
01|01004|00010000000|136|9161|102377|8.94
01|01004|00010000000|137|9651|102377|9.42
01|01004|00010000000|36|9800|102377|9.57
01|01004|00010000000|57|9017|102377|8.80
01|01004|00010000000|87|9184|102377|8.97
01|01004|00020100000|01-187|7194|102377|7.02
01|01004|00020100000|01-262|6928|102377|6.76
01|01004|00020100000|01-343|6904|102377|6.74
01|01004|00020100000|01-501|6908|102377|6.74
01|01004|00020100000|01-502|6778|102377|6.62
01|01004|00020100000|01-503|7324|102377|7.15
01|01004|00020100000|01-504|13210|102377|12.90
01|01004|00020100000|13|6376|102377|6.22
01|01004|00020100000|36|6487|102377|6.33
01|01004|00020100000|5|6546|102377|6.39
01|01004|00020100000|86|6831|102377|6.67
01|01004|00020100000|87|6280|102377|6.13
01|01004|00020100000|88|6944|102377|6.78
01|01004|00030100000|01-187|6760|102377|6.60
01|01004|00030100000|01-262|6529|102377|6.37
01|01004|00030100000|01-343|6628|102377|6.47
01|01004|00030100000|01-501|6629|102377|6.47
01|01004|00030100000|01-502|6684|102377|6.52
01|01004|00030100000|01-503|7323|102377|7.15
01|01004|00030100000|01-504|13439|102377|13.12
01|01004|00030100000|13|6600|102377|6.44
01|01004|00030100000|36|6675|102377|6.52
01|01004|00030100000|5|6966|102377|6.80
01|01004|00030100000|86|6784|102377|6.62
01|01004|00030100000|87|6916|102377|6.75
01|01004|00030100000|88|6777|102377|6.61
01|01004|00050100000|01-187|13372|102377|13.06
01|01004|00050100000|01-501|13856|102377|13.53
01|01004|00050100000|01-502|13812|102377|13.49
01|01004|00050100000|01-503|13127|102377|12.82
01|01004|00050100000|13|13782|102377|13.46
01|01004|00050100000|5|12965|102377|12.66
01|01004|00050100000|87|13796|102377|13.47
01|01004|00080100000|01-187|10009|102377|9.77
01|01004|00080100000|01-501|10756|102377|10.50
01|01004|00080100000|01-502|10172|102377|9.93
01|01004|00080100000|01-503|10429|102377|10.18
01|01004|00080100000|13|10289|102377|10.05
01|01004|00080100000|5|10902|102377|10.64
01|01004|00080100000|87|20949|102377|20.46
