CODIGO_CATEGORIA|NOMBRE_CATEGORIA|CODIGO_AGRUPACION|NOMBRE_AGRUPACION|CODIGO_LISTA|NOMBRE_LISTA
000801000000000|Diputados Ciudad Autónoma de Buenos Aires|01-504|CONSENSO FEDERAL|000801000000000.01-504.A.000801000000000.01-504|CONSENSO PARA EL FUTURO 
000801000000000|Diputados Ciudad Autónoma de Buenos Aires|13|MOVIMIENTO AL SOCIALISMO|000801000000000.13.A.000801000000000.13|UNIDAD DE LA IZQUIERDA
000801000000000|Diputados Ciudad Autónoma de Buenos Aires|5|DEMOCRATA CRISTIANO|000801000000000.5.A.000801000000000.5|CIUDAD CELESTE POR LA VIDA Y LA FAMILIA
000801000000000|Diputados Ciudad Autónoma de Buenos Aires|87|UNITE POR LA LIBERTAD Y LA DIGNIDAD|000801000000000.87.A.000801000000000.87|OLA CELESTE
000801000000000|Diputados Ciudad Autónoma de Buenos Aires|87|UNITE POR LA LIBERTAD Y LA DIGNIDAD|000801000000000.87.B.000801000000000.87|LISTA DIGNIDAD
000801000000000|Diputados Ciudad Autónoma de Buenos Aires|01-502|FRENTE DE TODOS|000801000000000.01-502.A.000801000000000.01-502|CELESTE Y BLANCA
000801000000000|Diputados Ciudad Autónoma de Buenos Aires|88|PARTIDO DIGNIDAD POPULAR|000801000000000.88.1A.000801000000000.88|LIBERACION
000801000000000|Diputados Ciudad Autónoma de Buenos Aires|01-187|AUTODETERMINACION Y LIBERTAD|000801000000000.01-187.A.000801000000000.01-187|QUE LOS PUEBLOS MANDEN
000801000000000|Diputados Ciudad Autónoma de Buenos Aires|01-501|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|000801000000000.01-501.A.000801000000000.01-501|UNIDAD
000801000000000|Diputados Ciudad Autónoma de Buenos Aires|01-503|JUNTOS POR EL CAMBIO|000801000000000.01-503.A.000801000000000.01-503|JUNTOS SOMOS EL CAMBIO
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001120007000019.20-703.A.001120007000019.20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-710|SANTA CRUZ SOMOS TODOS|001120007000019.20-710.A.001120007000019.20-710|POR UN PUEBLOCON DERECHOS
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.C.001120007000019.20-701|CONSENSO RIO GALLEGOS
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.N.001120007000019.20-701|SUMA PARA TODOS
