CODIGO_REGION|NOMBRE_REGION
06021|12 de Octubre
06022|2 de Abril
02121|25 de Mayo
06015|25 de Mayo
14011|25 de Mayo
16006|25 de Mayo
18014|25 de Mayo
06019|9 de Julio
02001|Adolfo Alsina
16001|Adolfo Alsina
22003|Aguirre
18010|Albardón
22004|Alberdi
23007|Alberdi
02002|Alberti
02003|Almirante Brown
06024|Almirante Brown
15010|Aluminé
03010|Ambato
03004|Ancasti
03012|Andalgalá
18009|Angaco
17005|Anta
03014|Antofagasta de la Sierra
24003|Antártida Argentina
14002|Apóstoles
12004|Arauco
00000000|Argentina
02010|Arrecifes
22005|Atamisqui
11001|Atreuco
02004|Avellaneda
16011|Avellaneda
22002|Avellaneda
02005|Ayacucho
19007|Ayacucho
02006|Azul
15003|Añelo
02007|Bahía Blanca
02008|Balcarce
22006|Banda
02009|Baradero
16009|Bariloche
19008|Belgrano
21001|Belgrano
22007|Belgrano
05011|Bella Vista
03013|Belén
02059|Benito Juárez
02011|Berazategui
02012|Berisso
06007|Bermejo
09007|Bermejo
05025|Berón de Astrada
07002|Biedma
02013|Bolívar
02014|Bragado
02015|Brandsen
02|Buenos Aires
23013|Burruyacú
17020|Cachi
17017|Cafayate
14010|Cainguas
04002|Calamuchita
11003|Caleu Caleu
18019|Calingasta
02016|Campana
14003|Candelaria
03002|Capayán
03001|Capital
04001|Capital
05001|Capital
11002|Capital
12001|Capital
13001|Capital
14001|Capital
17001|Capital
18001|Capital
22001|Capital
23001|Capital
02018|Capitán Sarmiento
02019|Carlos Casares
02020|Carlos Tejedor
02021|Carmen de Areco
21002|Caseros
21003|Castellanos
02023|Castelli
12003|Castro Barros
03|Catamarca
11004|Catriló
15011|Catán Lil
18015|Caucete
02017|Cañuelas
17011|Cerrillos
02029|Chacabuco
06020|Chacabuco
19004|Chacabuco
06|Chaco
11005|Chalileo
12012|Chamical
11006|Chapaleufú
02030|Chascomús
11007|Chical-Co
23005|Chicligasta
17012|Chicoana
12006|Chilecito
18003|Chimbas
02031|Chivilcoy
15005|Chos Malal
22009|Choya
07|Chubut
01|Ciudad Autónoma de Buenos Aires
10012|Cochinoca
15013|Collón Curá
02024|Colón
04003|Colón
08015|Colón
06013|Comandante Fernández 
01001|Comuna 01
01002|Comuna 02
01003|Comuna 03
01004|Comuna 04
01005|Comuna 05
01006|Comuna 06
01007|Comuna 07
01008|Comuna 08
01009|Comuna 09
01010|Comuna 10
01011|Comuna 11
01012|Comuna 12
01013|Comuna 13
01014|Comuna 14
01015|Comuna 15
05017|Concepción
14005|Concepción de la Sierra
08013|Concordia
16002|Conesa
15001|Confluencia
11008|Conhelo
21004|Constitución
22008|Copo
02025|Coronel Dorrego
02026|Coronel Pringles
02027|Coronel Rosales
02028|Coronel Suárez
20005|Corpen Aike
05|Corrientes
23012|Cruz Alta
04004|Cruz del Eje
11009|Curacó
05003|Curuzú Cuatiá
07005|Cushamen
04|Córdoba
02032|Daireaux
20001|Deseado
08004|Diamante
02033|Dolores
03005|El Alto
10004|El Carmen
16013|El Cuy
14014|El Dorado
05012|Empedrado
02034|Ensenada
08|Entre Ríos
07015|Escalante
02035|Escobar
05005|Esquina
02036|Esteban Echeverría
02037|Exaltación de la Cruz
02132|Ezeiza
07011|F. Ameghino
23003|Famaillá
12007|Famatina
08017|Federación
08014|Federal
08016|Feliciano
12008|Felipe Varela
22010|Figueroa
02038|Florencio Varela
02127|Florentino Ameghino
09|Formosa
09001|Formosa
06023|Fray Justo Sta. María de Oro
03009|Fray Mamerto Esquiú
07006|Futaleufú
07012|Gaiman
21005|Garay
07004|Gastre
02039|General Alvarado
02040|General Alvear
05022|General Alvear
13018|General Alvear
02041|General Arenales
02042|General Belgrano
06018|General Belgrano
10001|General Belgrano
12014|General Belgrano
06004|General Donovan
02043|General Guido
06025|General Güemes
17003|General Güemes
02044|General La Madrid
12009|General Lamadrid
02045|General Las Heras
02046|General Lavalle
21006|General López
02047|General Madariaga
14017|General Manuel Belgrano
21007|General Obligado
12016|General Ortiz de Ocampo
02048|General Paz
05014|General Paz
02049|General Pinto
02050|General Pueyrredón
04005|General Roca
16012|General Roca
02051|General Rodríguez
02052|General San Martín
04006|General San Martín
12018|General San Martín
02054|General Viamonte
02055|General Villegas
19009|Gobernador Dupuy
13002|Godoy Cruz
02056|Gonzales Chaves
05002|Goya
23009|Graneros
17014|Guachipas
08007|Gualeguay
08010|Gualeguaychú
02057|Guaminí
14013|Guaraní
22011|Guasayán
11010|Guatraché
13003|Guaymallén
20007|Güer Aike
02058|Hipólito Yrigoyen
11011|Hucal
