CODIGO_REGION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|VOTOS_AGRUPACION|VOTOS_VALIDOS|PORCENTAJE
00000000|000100000000000|13|19|209|9.09
00000000|000100000000000|131|19|209|9.09
00000000|000100000000000|132|19|209|9.09
00000000|000100000000000|133|19|209|9.09
00000000|000100000000000|135|19|209|9.09
00000000|000100000000000|136|19|209|9.09
00000000|000100000000000|137|19|209|9.09
00000000|000100000000000|36|19|209|9.09
00000000|000100000000000|57|19|209|9.09
00000000|000100000000000|87|19|209|9.09
00000000|000201000000000|01-187|19|247|7.69
00000000|000201000000000|01-262|19|247|7.69
00000000|000201000000000|01-343|19|247|7.69
00000000|000201000000000|01-501|19|247|7.69
00000000|000201000000000|01-502|19|247|7.69
00000000|000201000000000|01-503|19|247|7.69
00000000|000201000000000|01-504|19|247|7.69
00000000|000201000000000|13|19|247|7.69
00000000|000201000000000|5|19|247|7.69
00000000|000201000000000|86|19|247|7.69
00000000|000201000000000|87|19|247|7.69
00000000|000201000000000|88|19|247|7.69
00000000|000301000000000|01-187|19|247|7.69
00000000|000301000000000|01-262|19|247|7.69
00000000|000301000000000|01-343|19|247|7.69
00000000|000301000000000|01-501|19|247|7.69
00000000|000301000000000|01-502|19|247|7.69
00000000|000301000000000|01-503|19|247|7.69
00000000|000301000000000|01-504|19|247|7.69
00000000|000301000000000|13|19|247|7.69
00000000|000301000000000|5|19|247|7.69
00000000|000301000000000|86|19|247|7.69
00000000|000301000000000|87|19|247|7.69
00000000|000301000000000|88|19|247|7.69
01|000100000000000|13|19|209|9.09
01|000100000000000|131|19|209|9.09
01|000100000000000|132|19|209|9.09
01|000100000000000|133|19|209|9.09
01|000100000000000|135|19|209|9.09
01|000100000000000|136|19|209|9.09
01|000100000000000|137|19|209|9.09
01|000100000000000|36|19|209|9.09
01|000100000000000|57|19|209|9.09
01|000100000000000|87|19|209|9.09
01|000201000000000|01-187|19|247|7.69
01|000201000000000|01-262|19|247|7.69
01|000201000000000|01-343|19|247|7.69
01|000201000000000|01-501|19|247|7.69
01|000201000000000|01-502|19|247|7.69
01|000201000000000|01-503|19|247|7.69
01|000201000000000|01-504|19|247|7.69
01|000201000000000|13|19|247|7.69
01|000201000000000|5|19|247|7.69
01|000201000000000|86|19|247|7.69
01|000201000000000|87|19|247|7.69
01|000201000000000|88|19|247|7.69
01|000301000000000|01-187|19|247|7.69
01|000301000000000|01-262|19|247|7.69
01|000301000000000|01-343|19|247|7.69
01|000301000000000|01-501|19|247|7.69
01|000301000000000|01-502|19|247|7.69
01|000301000000000|01-503|19|247|7.69
01|000301000000000|01-504|19|247|7.69
01|000301000000000|13|19|247|7.69
01|000301000000000|5|19|247|7.69
01|000301000000000|86|19|247|7.69
01|000301000000000|87|19|247|7.69
01|000301000000000|88|19|247|7.69
01|000501000000000|01-187|19|171|11.11
01|000501000000000|01-501|19|171|11.11
01|000501000000000|01-502|19|171|11.11
01|000501000000000|01-503|19|171|11.11
01|000501000000000|01-504|19|171|11.11
01|000501000000000|13|19|171|11.11
01|000501000000000|87|19|171|11.11
01|000501000000000|88|19|171|11.11
