CODIGO_DISTRITO|CODIGO_SECCION|CODIGO_CATEGORIA|CODIGO_AGRUPACION|CODIGO_LISTA|VOTOS_LISTA
01|01005|000100000000000|13|000100000000000.13.A.000100000000000.13|19
01|01005|000100000000000|131|000100000000000.131.A.000100000000000.131|19
01|01005|000100000000000|132|000100000000000.132.A.000100000000000.132|19
01|01005|000100000000000|133|000100000000000.133.A.000100000000000.133|19
01|01005|000100000000000|135|000100000000000.135.A.000100000000000.135|19
01|01005|000100000000000|136|000100000000000.136.A.000100000000000.136|19
01|01005|000100000000000|137|000100000000000.137.A.000100000000000.137|19
01|01005|000100000000000|36|000100000000000.36.A.000100000000000.36|19
01|01005|000100000000000|57|000100000000000.57.A.000100000000000.57|19
01|01005|000100000000000|87|000100000000000.87.A.000100000000000.87|19
01|01005|000201000000000|01-187|000201000000000.01-187.A.000201000000000.01-187|19
01|01005|000201000000000|01-262|000201000000000.01-262.A.000201000000000.01-262|19
01|01005|000201000000000|01-343|000201000000000.01-343.A.000201000000000.01-343|19
01|01005|000201000000000|01-501|000201000000000.01-501.A.000201000000000.01-501|19
01|01005|000201000000000|01-502|000201000000000.01-502.A.000201000000000.01-502|19
01|01005|000201000000000|01-503|000201000000000.01-503.A.000201000000000.01-503|19
01|01005|000201000000000|01-504|000201000000000.01-504.A.000201000000000.01-504|19
01|01005|000201000000000|13|000201000000000.13.A.000201000000000.13|19
01|01005|000201000000000|5|000201000000000.5.A.000201000000000.5|19
01|01005|000201000000000|86|000201000000000.86.A.000201000000000.86|19
01|01005|000201000000000|87|000201000000000.87.A.000201000000000.87|19
01|01005|000201000000000|88|000201000000000.88.1A.000201000000000.88|19
01|01005|000301000000000|01-187|000301000000000.01-187.A.000301000000000.01-187|19
01|01005|000301000000000|01-262|000301000000000.01-262.A.000301000000000.01-262|19
01|01005|000301000000000|01-343|000301000000000.01-343.A.000301000000000.01-343|19
01|01005|000301000000000|01-501|000301000000000.01-501.A.000301000000000.01-501|19
01|01005|000301000000000|01-502|000301000000000.01-502.A.000301000000000.01-502|19
01|01005|000301000000000|01-503|000301000000000.01-503.A.000301000000000.01-503|19
01|01005|000301000000000|01-504|000301000000000.01-504.A.000301000000000.01-504|19
01|01005|000301000000000|13|000301000000000.13.A.000301000000000.13|19
01|01005|000301000000000|5|000301000000000.5.A.000301000000000.5|19
01|01005|000301000000000|86|000301000000000.86.A.000301000000000.86|19
01|01005|000301000000000|87|000301000000000.87.A.000301000000000.87|19
01|01005|000301000000000|88|000301000000000.88.1A.000301000000000.88|19
01|01005|000501000000000|01-187|000501000000000.01-187.A.000501000000000.01-187|19
01|01005|000501000000000|01-501|000501000000000.01-501.A.000501000000000.01-501|19
01|01005|000501000000000|01-502|000501000000000.01-502.A.000501000000000.01-502|19
01|01005|000501000000000|01-503|000501000000000.01-503.A.000501000000000.01-503|19
01|01005|000501000000000|01-504|000501000000000.01-504.A.000501000000000.01-504|19
01|01005|000501000000000|13|000501000000000.13.A.000501000000000.13|19
01|01005|000501000000000|87|000501000000000.87.B.000501000000000.87|19
01|01005|000501000000000|88|000501000000000.88.1A.000501000000000.88|19
01|01005|000801000000000|01-187|000801000000000.01-187.A.000801000000000.01-187|19
01|01005|000801000000000|01-501|000801000000000.01-501.A.000801000000000.01-501|19
01|01005|000801000000000|01-502|000801000000000.01-502.A.000801000000000.01-502|19
01|01005|000801000000000|01-503|000801000000000.01-503.A.000801000000000.01-503|19
01|01005|000801000000000|01-504|000801000000000.01-504.A.000801000000000.01-504|19
01|01005|000801000000000|13|000801000000000.13.A.000801000000000.13|19
01|01005|000801000000000|5|000801000000000.5.A.000801000000000.5|19
01|01005|000801000000000|87|000801000000000.87.A.000801000000000.87|19
01|01005|000801000000000|87|000801000000000.87.B.000801000000000.87|19
01|01005|000801000000000|88|000801000000000.88.1A.000801000000000.88|19
01|01005|000901005000000|01-501|000901005000000.01-501.A.000901005000000.01-501|19
01|01005|000901005000000|01-502|000901005000000.01-502.A.000901005000000.01-502|19
01|01005|000901005000000|01-503|000901005000000.01-503.A.000901005000000.01-503|19
01|01005|000901005000000|01-504|000901005000000.01-504.A.000901005000000.01-504|19
01|01005|000901005000000|13|000901005000000.13.A.000901005000000.13|19
01|01005|000901005000000|5|000901005000000.5.A.000901005000000.5|19
